Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1201,Shree Shyam Interiors & Modular Concepts,Interior Designers & Modular Kitchens,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 17.0 - 22.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.6 Stars (163 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Managing Partners / Principal Designers,+91 9865 707 445,Lacks a 3D virtual project walkthrough website and interactive modular kitchen cost calculator.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1202,A2Z Interior Solutions & Woodcraft,Interior Designers & Modular Kitchens,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 25.0 - 27.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.5 Stars (499 Reviews),No Website (Only Justdial & Google Map listing),Managing Partners / Principal Designers,+91 9817 800 184,Lacks a 3D virtual project walkthrough website and interactive modular kitchen cost calculator.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1203,Arcint Design Studio & Turnkey Interiors,Interior Designers & Modular Kitchens,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 17.0 - 20.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.6 Stars (75 Reviews),No Website (Only Instagram Profile & WhatsApp link),Managing Partners / Principal Designers,+91 9832 841 571,No automated WhatsApp lead capture funnel for homeowners looking for turnkey home renovations.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1204,Wallmantra Modular Kitchens & Wardrobes,Interior Designers & Modular Kitchens,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 23.0 - 27.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.7 Stars (321 Reviews),No Website (Only Justdial & Google Map listing),Managing Partners / Principal Designers,+91 9811 879 827,No automated WhatsApp lead capture funnel for homeowners looking for turnkey home renovations.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1205,Delhi Interior & Architecture Studio,Interior Designers & Modular Kitchens,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 16.0 - 19.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.8 Stars (662 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Managing Partners / Principal Designers,+91 9870 614 531,Depends on aggregator leads (Justdial/IndiaMART) which are resold to 5 competitors simultaneously.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1206,SKF Decor Turnkey Interior Studio,Interior Designers & Modular Kitchens,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 32.0 - 38.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.5 Stars (67 Reviews),No Website (Only Justdial & Google Map listing),Managing Partners / Principal Designers,+91 9865 621 803,"High-ticket luxury clients in Rohini Sectors 9, 13 & 14 cannot verify past completed project portfolios online.","Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1207,Design Indian Kitchens & Homes Rohini,Interior Designers & Modular Kitchens,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 31.0 - 36.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.8 Stars (111 Reviews),No Website (Only Instagram Profile & WhatsApp link),Managing Partners / Principal Designers,+91 9846 625 918,Depends on aggregator leads (Justdial/IndiaMART) which are resold to 5 competitors simultaneously.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1208,Vardhman Modular Kitchen & Wardrobe Hub,Interior Designers & Modular Kitchens,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 34.0 - 39.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.9 Stars (198 Reviews),No Website (Only Instagram Profile & WhatsApp link),Managing Partners / Principal Designers,+91 9890 845 410,No automated WhatsApp lead capture funnel for homeowners looking for turnkey home renovations.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1209,Urban Space Architecture & Interiors,Interior Designers & Modular Kitchens,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 31.0 - 37.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.6 Stars (133 Reviews),No Website (Only IndiaMART / Sulekha listing),Managing Partners / Principal Designers,+91 9838 835 773,"High-ticket luxury clients in Rohini Sectors 9, 13 & 14 cannot verify past completed project portfolios online.","Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1210,Living Walls Interior Design & 3D Studio,Interior Designers & Modular Kitchens,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 32.0 - 36.0 Lakhs/mo,"Rs. 250,000 - Rs. 1,500,000",4.3 Stars (657 Reviews),No Website (Only Justdial & Google Map listing),Managing Partners / Principal Designers,+91 9874 809 586,Depends on aggregator leads (Justdial/IndiaMART) which are resold to 5 competitors simultaneously.,"Pitch 'SahayShakti Designer Showcase': High-speed 3D project gallery, instant kitchen cost estimator, and exclusive Google organic lead funnel (Zero aggregator commission).",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
