Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0148,Aakarshak Salon,"Luxury Salons, Beauty & Spas","Rohini Commercial Hub (Near Lat: 28.736, Lon: 77.125)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0408,Trends Hair Saloon,"Luxury Salons, Beauty & Spas","Rohini Commercial Hub (Near Lat: 28.692, Lon: 77.178)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0417,Trends Saloon,"Luxury Salons, Beauty & Spas","Rohini Commercial Hub (Near Lat: 28.691, Lon: 77.176)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0479,Sharma Hair Dresser,"Luxury Salons, Beauty & Spas",D-15/N-30  Jahangirpuri,110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0493,Aliza Makeover,"Luxury Salons, Beauty & Spas",708  Jahangirpuri,110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0494,Shejal Beauty Parlour,"Luxury Salons, Beauty & Spas",600  Jahangirpuri,110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0500,Dhar General And Cosmetics Store,"Luxury Salons, Beauty & Spas",249  Jahangir Puri,110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0518,Faizan Hair Cutting Saloon,"Luxury Salons, Beauty & Spas",81  DDA Flats,110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0546,Star Makeover,"Luxury Salons, Beauty & Spas","Rohini Commercial Hub (Near Lat: 28.730, Lon: 77.164)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0548,Kashvi Beauty Parlour,"Luxury Salons, Beauty & Spas","Rohini Commercial Hub (Near Lat: 28.729, Lon: 77.165)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 5.5 - 18.0 Lakhs/mo,"Rs. 1,500 - 25,000",Studio Owner / Lead Stylist,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Glamour Suite: Interactive bridal lookbook, direct rate-card booking, and zero-commission slot reservations.",HOT (Zero Web Presence / High Revenue),Uncontacted
