Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-SHOE-FAC-001,XO Footwear Pvt. Ltd. (Plant 1),Shoe Factories & Footwear Manufacturers,"Men's, Women's & Safety Footwear Factory","Mangolpuri Industrial Area Phase 2, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 35.0 - 95.0 Lakhs/mo,"Rs. 45,000 - 5,00,000 (B2B Bulk)",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-002,Asian Footwears Manufacturing Hub,Shoe Factories & Footwear Manufacturers,"Sports Shoes, School & Sneaker Production","Phase 1, Mangolpuri Industrial Area, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 40.0 - 1.2 Crore/mo,"Rs. 50,000 - 8,00,000 (Wholesale)",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-003,Sumit Footcare & EVA Products,Shoe Factories & Footwear Manufacturers,"Safety Shoes, EVA Soles & Fitness Footwear","Mangolpuri Industrial Area Phase II, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 25.0 - 65.0 Lakhs/mo,"Rs. 30,000 - 3,50,000 (Bulk)",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-004,Yoho Footwear Manufacturing Unit,Shoe Factories & Footwear Manufacturers,"Sneakers, Comfort Loafers & Moccasins","Badli Industrial Area Phase 1, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 30.0 - 80.0 Lakhs/mo,"Rs. 25,000 - 4,00,000 (B2B/D2C)",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-005,Fornnas Footwear Industries,Shoe Factories & Footwear Manufacturers,Shoe Soles & PU Footwear Manufacturing,"Badli Industrial Area, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 20.0 - 50.0 Lakhs/mo,"Rs. 40,000 - 3,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-006,Dream Like Footwear Factory,Shoe Factories & Footwear Manufacturers,Custom Footwear & EVA Soles Manufacturer,"Badli Industrial Area Phase 2, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 18.0 - 45.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-007,Rakesh Footwear Manufacturing Co.,Shoe Factories & Footwear Manufacturers,"School Shoes, PU Slippers & Sandals","Badli Industrial Area, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 15.0 - 40.0 Lakhs/mo,"Rs. 20,000 - 2,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-008,Sunrise Footwear Industrial Works,Shoe Factories & Footwear Manufacturers,Sports Shoes & Moulded Sole Production,"Near Bawana / Rohini Sector 34 Link, Delhi",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 22.0 - 60.0 Lakhs/mo,"Rs. 35,000 - 4,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-009,Superstep Footwear & Leather Works,Shoe Factories & Footwear Manufacturers,Leather Formal Shoes & Custom Boot Makers,"Mangolpuri Industrial Area Phase 1, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 20.0 - 55.0 Lakhs/mo,"Rs. 30,000 - 3,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-010,Action Shoes Distributor & B2B Hub,Shoe Factories & Footwear Manufacturers,Footwear Wholesale & Distribution Plant,"Mangolpuri Industrial Area Phase 1, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 50.0 - 1.5 Crore/mo,"Rs. 1,00,000 - 15,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
