Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1381,Royal Orchid Banquet & Party Lawns,"Banquets, Party Lawns & Caterers",Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 22.0 - 25.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.6 Stars (589 Reviews),No Website (Only Justdial & Google Map listing),Managing Directors / Event Leads,+91 9874 353 987,Poor mobile presence when NRI / outstation families search for 'Best Banquets in Rohini / GT Karnal Road'.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1382,The Grand Heritage Banquet Hall,"Banquets, Party Lawns & Caterers",Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 39.0 - 44.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.6 Stars (344 Reviews),No Website (Only Instagram Profile & WhatsApp link),Managing Directors / Event Leads,+91 9862 490 196,High dependency on offline wedding brokers taking heavy 10-15% commission instead of direct website bookings.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1383,Celebration Paradise Luxury Banquets,"Banquets, Party Lawns & Caterers",Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 40.0 - 43.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.7 Stars (296 Reviews),No Website (Only IndiaMART / Sulekha listing),Managing Directors / Event Leads,+91 9879 464 113,Lacks an interactive catering menu customizer and wedding package pricing estimator online.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1384,Golden Crown Banquet & Party Hall,"Banquets, Party Lawns & Caterers",Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 23.0 - 26.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.3 Stars (135 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Managing Directors / Event Leads,+91 9847 771 544,High dependency on offline wedding brokers taking heavy 10-15% commission instead of direct website bookings.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1385,Shree Radhey Party Lawn & Caterers,"Banquets, Party Lawns & Caterers",Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 16.0 - 21.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.6 Stars (421 Reviews),No Website (Only IndiaMART / Sulekha listing),Managing Directors / Event Leads,+91 9825 619 994,No 360-degree virtual hall tour or real-time event date availability checker for wedding planners.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1386,The Venetian Luxury Banquet Hall,"Banquets, Party Lawns & Caterers",Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 43.0 - 47.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.4 Stars (462 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Managing Directors / Event Leads,+91 9874 503 985,No 360-degree virtual hall tour or real-time event date availability checker for wedding planners.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1387,Seven Seas Banquet & Catering Rohini,"Banquets, Party Lawns & Caterers",Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 38.0 - 43.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.8 Stars (433 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Managing Directors / Event Leads,+91 9877 115 360,Poor mobile presence when NRI / outstation families search for 'Best Banquets in Rohini / GT Karnal Road'.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1388,The Rajwada Palace Banquet Lawns,"Banquets, Party Lawns & Caterers",Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 44.0 - 50.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.7 Stars (76 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Managing Directors / Event Leads,+91 9869 826 794,High dependency on offline wedding brokers taking heavy 10-15% commission instead of direct website bookings.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1389,Surya Grand Banquet & Event Suites,"Banquets, Party Lawns & Caterers",Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 33.0 - 39.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.8 Stars (534 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Managing Directors / Event Leads,+91 9819 115 637,Lacks an interactive catering menu customizer and wedding package pricing estimator online.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1390,Vaishnav Banquet & Pure Veg Caterers,"Banquets, Party Lawns & Caterers",Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 30.0 - 35.0 Lakhs/mo,"Rs. 100,000 - Rs. 800,000",4.5 Stars (362 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Managing Directors / Event Leads,+91 9895 659 489,No 360-degree virtual hall tour or real-time event date availability checker for wedding planners.,"Pitch 'SahayShakti GrandEvent Portal': 360-degree virtual venue tour, interactive menu builder, and direct wedding consultation booking to eliminate middleman commissions.",High Priority,Uncontacted / Ready for Pitch
