Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1106,Surbhi Soin Bridal Makeover Studio,Luxury Salons & Bridal Studios,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 18.0 - 20.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.8 Stars (530 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Founders / Master Makeup Artists,+91 9835 857 729,No dedicated digital rate-card or bridal package deposit checkout; competitors with sleek landing pages win wedding bookings.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1107,Blush A Styling Hub & Luxury Salon,Luxury Salons & Bridal Studios,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 18.0 - 24.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.5 Stars (577 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Master Makeup Artists,+91 9854 465 425,Zero automated client review collection system; no digital loyalty membership landing page.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1108,Galaxy The Unisex Salon & Spa Lounge,Luxury Salons & Bridal Studios,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 22.0 - 26.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.4 Stars (416 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Founders / Master Makeup Artists,+91 9881 426 399,Inquiries lost in unorganized Instagram DMs; lacks a luxury bridal lookbook and slot reservation portal.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1109,Richa Makeover & Academy,Luxury Salons & Bridal Studios,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 10.0 - 13.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.8 Stars (544 Reviews),No Website (Only Justdial & Google Map listing),Founders / Master Makeup Artists,+91 9895 684 177,No dedicated digital rate-card or bridal package deposit checkout; competitors with sleek landing pages win wedding bookings.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1110,Gracia Signature Salon & Bridal Academy,Luxury Salons & Bridal Studios,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 22.0 - 28.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.3 Stars (155 Reviews),No Website (Only Justdial & Google Map listing),Founders / Master Makeup Artists,+91 9884 294 581,Inquiries lost in unorganized Instagram DMs; lacks a luxury bridal lookbook and slot reservation portal.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1111,Rapunzel Luxury Hair & Beauty Studio,Luxury Salons & Bridal Studios,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 19.0 - 22.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.6 Stars (434 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Founders / Master Makeup Artists,+91 9841 468 921,Inquiries lost in unorganized Instagram DMs; lacks a luxury bridal lookbook and slot reservation portal.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1112,Glam & Glitz Premium Makeup Studio,Luxury Salons & Bridal Studios,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 18.0 - 24.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.8 Stars (376 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Master Makeup Artists,+91 9863 585 171,Zero automated client review collection system; no digital loyalty membership landing page.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1113,Vogue Unisex Salon & Nail Art Studio,Luxury Salons & Bridal Studios,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 16.0 - 20.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.4 Stars (442 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Master Makeup Artists,+91 9867 646 606,Relies purely on word-of-mouth; missing local Google Search dominance for 'Bridal Makeup Rohini Sector 7/8/9/14'.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1114,Komal Arora Makeovers & Academy,Luxury Salons & Bridal Studios,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 21.0 - 27.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.9 Stars (259 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Master Makeup Artists,+91 9827 347 962,Relies purely on word-of-mouth; missing local Google Search dominance for 'Bridal Makeup Rohini Sector 7/8/9/14'.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1115,Hair & Beyond Luxury Grooming Studio,Luxury Salons & Bridal Studios,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 10.0 - 15.0 Lakhs/mo,"Rs. 2,000 - Rs. 35,000",4.8 Stars (144 Reviews),No Website (Only Instagram Profile & WhatsApp link),Founders / Master Makeup Artists,+91 9896 975 452,Relies purely on word-of-mouth; missing local Google Search dominance for 'Bridal Makeup Rohini Sector 7/8/9/14'.,"Pitch 'SahayShakti Glamour Suite': Luxury mobile-first bridal lookbook, direct Instagram-to-WhatsApp booking funnel, and instant advance slot reservation.",High Priority,Uncontacted / Ready for Pitch
