Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-BRAND-001,B.S. Sports (BS Sports Rohini Sector 7 Hub),Sportswear & Custom Sports Equipment,"Main Market, Sector 7, Rohini, Delhi - 110085 (Near Rohini West Metro)",110085,"Rohini Sector 7, Delhi",+91 9811X XXXXX (Sector 7 Main Outlet),NO DIRECT E-COMMERCE / TEAM JERSEY CUSTOMIZER WEBSITE,Rs. 12.0 - 35.0 Lakhs/mo,"Rs. 3,500 - 85,000 (Bulk Team Orders)",Managing Director / Store Founder,10:30 AM - 9:00 PM (Daily),"Pitch 'SahayShakti Custom Jersey & Sports 3D Kit Builder': Online 3D jersey visualizer (add player name/number/logo), team bulk order quote calculator, and automated WhatsApp tournament kit bookings.",HOT (Massive Footfall & Team Orders / No Online Configurator),Uncontacted
SST-BRAND-002,B.S. Sports (BS Sports Pitampura Branch),Sportswear & Custom Sports Equipment,"Near Fountain Chowk / Main Market, Pitampura, Delhi - 110034",110034,"Pitampura, Delhi",+91 9873X XXXXX (Pitampura Outlet),NO DIGITAL CATALOGUE (Relies on Walk-in / Justdial),Rs. 15.0 - 40.0 Lakhs/mo,"Rs. 4,000 - 95,000 (School & Academy Kits)",Branch Head / Managing Partner,10:00 AM - 9:00 PM (Mon-Sun),"Pitch 'SahayShakti SportsPro Suite': Digital sports catalog, institutional quote generator for schools/academies, and WhatsApp direct payment checkout.",HOT (High Institutional Volume / Zero Web Portal),Uncontacted
SST-BRAND-003,B.S. Sports (BS Sports Academy & Sports Hub Rohini Sector 3),Sportswear & Custom Sports Equipment,"Near Jaipur Golden Hospital, Sector 3, Rohini, Delhi - 110085",110085,"Rohini Sector 3, Delhi",+91 9910X XXXXX (Sector 3 Outlet),NO OFFICIAL WEBSITE (Only Local Map Listing),Rs. 8.0 - 22.0 Lakhs/mo,"Rs. 2,000 - 45,000",Academy Director / Chief Coach,6:00 AM - 9:00 PM,"Pitch 'SahayShakti Academy Booking Portal': Online court & coaching slot booking, sports gear shop, and student enrollment funnel.",HOT (High Sports Footfall),Uncontacted
SST-BRAND-004,KALKI Fashion Pitampura Flagship,"Branded Clothing, Custom Boutiques & Bridal Wear","Kapil Vihar, Main Road, Pitampura, Delhi - 110034",110034,"Pitampura Luxury Belt, Delhi",+91 9319X XXXXX (Pitampura Flagship),National Brand Site Exists (Needs Local VIP Pitampura In-Store Appointment Funnel),Rs. 45.0 Lakhs - 1.8 Crore/mo,"Rs. 35,000 - 3,50,000 (Luxury Bridal Outfits)",Store General Manager / Regional Retail Head,11:00 AM - 8:30 PM (Daily),Pitch 'SahayShakti VIP Bridal Stylist Concierge': Dedicated local landing page for Pitampura/Rohini brides with 1-click VIP private styling appointment booking and video fitting sessions.,High (Ultra-High Ticket Size / High Conversion Value),Uncontacted
SST-BRAND-005,Vikang The Sports Town,Sportswear & Custom Sports Equipment,"Near DC Chowk, Sector 9 Commercial Centre, Rohini, Delhi - 110085",110085,"Rohini Sector 9, Delhi",+91 9810X XXXXX (DC Chowk Outlet),NO E-COMMERCE WEBSITE (Justdial / Local Walk-in Only),Rs. 10.0 - 28.0 Lakhs/mo,"Rs. 2,500 - 50,000",Managing Owner,10:30 AM - 9:00 PM,"Pitch 'SahayShakti SportsStore Digital Suite': Product catalog with live inventory showcase, bat knocking & customization booking, and WhatsApp order funnel.",HOT (Prime Rohini Location / No Website),Uncontacted
SST-BRAND-006,Zebon Sports Rohini,Sportswear & Custom Sports Equipment,"Sector 8 Commercial Complex, Rohini, Delhi - 110085",110085,"Rohini Sector 8, Delhi",+91 9899X XXXXX,NO WEBSITE FOUND,Rs. 7.5 - 20.0 Lakhs/mo,"Rs. 1,800 - 35,000",Proprietor,10:00 AM - 8:30 PM,Pitch 'SahayShakti ActiveWear Web Portal': Mobile catalog for gym/athletic apparel with direct UPI checkout and local delivery booking.,HOT (Zero Web Presence),Uncontacted
SST-BRAND-007,Delhi Digital Print & Madhukar Sports Custom Apparel,Sportswear & Custom Sports Equipment,"Commercial Hub, Pitampura, Delhi - 110034",110034,"Pitampura, Delhi",+91 9811X XXXXX,Basic Outdated Page (No Instant Quotation Calculator),Rs. 18.0 - 50.0 Lakhs/mo,"Rs. 15,000 - 2,50,000 (Bulk Corporate/Team Orders)",Managing Director,9:30 AM - 8:00 PM,"Pitch 'SahayShakti Instant Print Quoter': Upload vector artwork, live price-per-piece calculator based on quantity (50, 100, 500 pcs), and automated WhatsApp invoice generator.",HOT (High B2B Revenue),Uncontacted
SST-BRAND-008,Komal Artz Custom Sportswear & Vinyl Printing,Sportswear & Custom Sports Equipment,"Pitampura Industrial/Commercial Complex, Delhi - 110034",110034,"Pitampura, Delhi",+91 9871X XXXXX,NO INTERACTIVE ORDERING SYSTEM,Rs. 12.0 - 32.0 Lakhs/mo,"Rs. 8,000 - 1,20,000",Creative Head / Managing Partner,10:00 AM - 8:00 PM,Pitch 'SahayShakti Custom Print Studio': Online artwork proofing tool and direct team bulk ordering portal.,HOT (High Demand Customization),Uncontacted
SST-BRAND-009,Flyten Fashion Brands (Custom Sports Jerseys),Sportswear & Custom Sports Equipment,"North-West Delhi Industrial Belt / Rohini Link, Delhi",110034,North-West Delhi,+91 9999X XXXXX,Basic Showcase (No Direct B2B Wholesale Portal),Rs. 20.0 - 55.0 Lakhs/mo,"Rs. 25,000 - 3,00,000",Founder / Plant Head,9:00 AM - 7:30 PM,"Pitch 'SahayShakti Factory B2B Hub': Digital wholesale catalog, fabric GSM selector, and automated distributor onboarding system.",HOT (High Production Volume),Uncontacted
SST-BRAND-010,Inaya Couture (Pitampura Luxury Bridal Studio),"Branded Clothing, Custom Boutiques & Bridal Wear","Kapil Vihar / Rani Bagh Link Road, Pitampura, Delhi - 110034",110034,"Pitampura, Delhi",+91 9810X XXXXX,NO E-COMMERCE / LOOKBOOK WEBSITE (Only Instagram Page),Rs. 20.0 - 50.0 Lakhs/mo,"Rs. 45,000 - 2,80,000",Principal Designer & Founder,11:00 AM - 8:00 PM (Tue-Sun),"Pitch 'SahayShakti Haute Couture Suite': Video lookbook by collection, bride measurement submission portal, and direct advance token payment gateway.",HOT (High-Ticket Designer Bridal Studio),Uncontacted
