Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1531,Rohini Property Hub & Luxury Floor Builders,Real Estate Consultants & Builders,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 15.0 - 17.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.3 Stars (46 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Senior Partners / Developers,+91 9815 336 357,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1532,Aggarwal Real Estate & Financial Consultants,Real Estate Consultants & Builders,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 19.0 - 23.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.5 Stars (269 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Senior Partners / Developers,+91 9819 236 944,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1533,Shree Shyam Builders & Collaborators,Real Estate Consultants & Builders,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 15.0 - 18.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.9 Stars (632 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9870 490 706,No branded web authority making them look like a small broker rather than a premier developer.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1534,Gupta Associates Rohini Floor Developers,Real Estate Consultants & Builders,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 36.0 - 40.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.7 Stars (618 Reviews),No Website (Only Justdial & Google Map listing),Senior Partners / Developers,+91 9842 804 479,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1535,City Star Real Estate & Legal Advisory,Real Estate Consultants & Builders,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 34.0 - 38.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.6 Stars (171 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9829 530 432,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1536,Royal Palms Realty & Commercial Leasing,Real Estate Consultants & Builders,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 13.0 - 15.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.7 Stars (201 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Senior Partners / Developers,+91 9874 704 618,Lacks a verified builder floor showcase website with HD video walk-throughs and floor plan downloads.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1537,Vardhman Properties & Builder Floors,Real Estate Consultants & Builders,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 30.0 - 35.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.6 Stars (554 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Senior Partners / Developers,+91 9844 616 850,High dependency on local WhatsApp groups; no professional digital presence to attract high-budget investors.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1538,Apex Housing & Luxury Home Collaborations,Real Estate Consultants & Builders,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 10.0 - 14.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.4 Stars (136 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Senior Partners / Developers,+91 9850 590 133,High dependency on local WhatsApp groups; no professional digital presence to attract high-budget investors.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1539,Bansal Property Consultants Sector 9,Real Estate Consultants & Builders,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 26.0 - 32.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.9 Stars (672 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9870 309 236,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1540,Dream Space Real Estate & Rental Hub,Real Estate Consultants & Builders,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 39.0 - 44.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.7 Stars (568 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Senior Partners / Developers,+91 9814 575 385,Lacks a verified builder floor showcase website with HD video walk-throughs and floor plan downloads.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1541,Prime Realty & Commercial Shop Advisory,Real Estate Consultants & Builders,Sector 3 Rohini Market,Near Jaipur Golden Hospital,"Rohini, Delhi - 110085",Rs. 14.0 - 18.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.9 Stars (530 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Senior Partners / Developers,+91 9890 948 926,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1542,Shree Ram Builders & Luxury Floors Rohini,Real Estate Consultants & Builders,Sector 5 CSC Market,Near Rajiv Gandhi Cancer Institute,"Rohini, Delhi - 110085",Rs. 23.0 - 26.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.4 Stars (100 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9815 907 607,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1543,Mahalaxmi Associates & Property Advisory,Real Estate Consultants & Builders,Sector 6 Commercial Complex,Near Ayodhya Chowk,"Rohini, Delhi - 110085",Rs. 14.0 - 18.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.9 Stars (227 Reviews),No Website (Only Justdial & Google Map listing),Senior Partners / Developers,+91 9834 260 287,No branded web authority making them look like a small broker rather than a premier developer.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1544,Metro Realty Consultants Rohini West,Real Estate Consultants & Builders,Sector 18 Commercial Hub,Badli Road / Samaypur link,"Rohini, Delhi - 110089",Rs. 33.0 - 37.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.3 Stars (90 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9858 409 738,Lacks a verified builder floor showcase website with HD video walk-throughs and floor plan downloads.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1545,Modern Estate Builders & Collaborators,Real Estate Consultants & Builders,Sector 22 Market,Near Pocket 4 Market,"Rohini, Delhi - 110086",Rs. 33.0 - 36.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.7 Stars (366 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9847 102 608,Lacks a verified builder floor showcase website with HD video walk-throughs and floor plan downloads.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1546,Saraswati Properties & Residential Plots,Real Estate Consultants & Builders,Sector 25 Marble & Commercial Hub,Near Rithala Industrial Area,"Rohini, Delhi - 110085",Rs. 16.0 - 19.0 Lakhs/mo,"Rs. 50,000 - Rs. 500,000",4.5 Stars (563 Reviews),No Website (Only IndiaMART / Sulekha listing),Senior Partners / Developers,+91 9847 713 802,Lacks automated property inquiry capture forms and EMI / Stamp Duty calculator tools for buyers.,"Pitch 'SahayShakti RealtyPro Engine': HD floor-plan showcase, interactive virtual walkthroughs, and automated investor WhatsApp lead-capture system.",High Priority,Uncontacted / Ready for Pitch
