Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0003,Sagar Ratna,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.674, Lon: 77.104)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0012,Domino's,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.671, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0013,McDonald's,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.133)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0020,The Great Kebab Factory,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.671, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0021,Subway,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.671, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0024,Gupta Chhole Bhature Corner,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.133)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0061,McDonald's,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.689, Lon: 77.133)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0062,Domino’s Pizza,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.689, Lon: 77.135)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0067,Bikaner Corner Wala,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.684, Lon: 77.136)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0071,Food ChoPal,"Banquets, Restaurants & Event Catering","Rohini Commercial Hub (Near Lat: 28.684, Lon: 77.127)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 10.0 - 35.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",General Manager / Banquet Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti GrandEvent Portal: 360-degree virtual walkthrough, interactive menu package builder, and direct wedding consultation booking.",HOT (Zero Web Presence / High Revenue),Uncontacted
