Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0006,Nescafe,"Coaching Institutes, Academies & EdTech",DCE College,110042,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0009,Kendriya Vidhyalya,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.683, Lon: 77.158)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0017,S M Arya Public School,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.672, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0030,Vishal Bharti Public School,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.678, Lon: 77.100)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0033,St. Nirankari Public School,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.676, Lon: 77.107)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0034,Rajkiya Pratibha Vikas Vidyalaya,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.676, Lon: 77.107)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0035,Sarvodaya Vidyalaya,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.675, Lon: 77.106)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0036,Government Higher Secondary School,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.674, Lon: 77.127)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0040,Sarvodaya Kanya Senior Secondary School,"Coaching Institutes, Academies & EdTech","Rohini Commercial Hub (Near Lat: 28.690, Lon: 77.156)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0042,HIRA YOGA TRAINING KENDER,"Coaching Institutes, Academies & EdTech","HPR School Main Road, Hira Colony, Siraspur, Delhi",110042,"Rohini, Delhi",+91-9350744966,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 7.0 - 25.0 Lakhs/mo,"Rs. 15,000 - 75,000",Director / Academic Head,8:00-2:00,"SahayShakti EduGrowth Engine: Free demo class booking page, syllabus PDF lead-capture, and automated student CRM.",HOT (Zero Web Presence / High Revenue),Uncontacted
