Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0002,Maruti Service Station,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.764, Lon: 77.147)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0149,Nexa,"Car Detailing, Auto Workshops & Accessories","Crown Heights, Sector-10",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0176,Om Motors,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.735, Lon: 77.119)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0289,Gems India,"Car Detailing, Auto Workshops & Accessories","502 Crown Heights, sector-10. Rohini",110085,"Rohini, Delhi",+91-9810011169,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,Mo-Sa 08:00-18:00,"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0391,Max,"Car Detailing, Auto Workshops & Accessories","City Centre Mall, Sector 10, Rohini New Delhi",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.maxfashion.in/,Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0396,fabindia,"Car Detailing, Auto Workshops & Accessories","GF-170 kapil Vihar, Pitampura",110089,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.fabindia.com/,Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0397,Fabindia,"Car Detailing, Auto Workshops & Accessories","A1/17 Prashant VIhar, Outer Ring Road",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.fabindia.com/,Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0398,Firstcry Rohini,"Car Detailing, Auto Workshops & Accessories","Sector 15, Rohini",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,http://firstcry.com/,Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0399,Firstcry,"Car Detailing, Auto Workshops & Accessories",372 pillar kohat enclave,110034,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.firstcry.com/,Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0448,मालवा टाटा सर्विस स्टेशन,"Car Detailing, Auto Workshops & Accessories","Jahangirpuri, Delhi",110033,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0459,Hemkund Ford,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.703, Lon: 77.168)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0483,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.731, Lon: 77.173)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0499,Aaliya Mobile Care,"Car Detailing, Auto Workshops & Accessories",100,110085,"Rohini, Delhi",+91-75039-02652;+91-96672-89296,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0512,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.731, Lon: 77.169)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0576,Shah And Gandhi Travels,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.727, Lon: 77.173)",110085,"Rohini, Delhi",+91-98210-39437;+91-77019-33572,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0613,Ganpati Gas System,"Car Detailing, Auto Workshops & Accessories",100  Sanjay Nagar,110033,"Rohini, Delhi",+919213452425,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0617,Chand Motors,"Car Detailing, Auto Workshops & Accessories",10/A Bandh Wala Road Mahindra Park,110033,"Rohini, Delhi",+91-99535-88683,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0622,Jazz Car Emporio,"Car Detailing, Auto Workshops & Accessories",101 Shah Alam Bandh Road Adarsh Nagar,110033,"Rohini, Delhi",+91-97167-69639,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0625,Rama Radiators,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.720, Lon: 77.168)",110085,"Rohini, Delhi",+919899391942,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0639,BK Auto Service Center,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.723, Lon: 77.165)",110085,"Rohini, Delhi",+91 83680 13383,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0646,Rohini Motors and Disposal,"Car Detailing, Auto Workshops & Accessories",D-18 Gali #37 Mahendra Park,110033,"Rohini, Delhi",+91 95822 83152,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0666,MG Tyres,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.731, Lon: 77.160)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0674,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.728, Lon: 77.177)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0708,Anganwadi,"Car Detailing, Auto Workshops & Accessories",CN-24/26  Bhalswa Dairy,110042,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0710,Anganwadi,"Car Detailing, Auto Workshops & Accessories",Vishwanath Puri,110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0711,Chintan Learning Center,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.741, Lon: 77.162)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0712,Anganwadi,"Car Detailing, Auto Workshops & Accessories",Bhalswa Dairy,110042,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0716,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.740, Lon: 77.162)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0717,Anganwadi,"Car Detailing, Auto Workshops & Accessories",CN-621  Bhalswa Dairy,110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0729,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.742, Lon: 77.164)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0742,VRM Cars,"Car Detailing, Auto Workshops & Accessories",C-1 Gali #27 Mahendra Park,110033,"Rohini, Delhi",+91-9999-893016;+91-97161-22332,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0755,Balaji Motors,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.740, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0775,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.754, Lon: 77.163)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0776,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.755, Lon: 77.163)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0780,Chintan Learning Center,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.754, Lon: 77.163)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0783,Chintan Learning Center,"Car Detailing, Auto Workshops & Accessories",11;12  Bhalswa,110042,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0787,Anganwadi,"Car Detailing, Auto Workshops & Accessories","Rohini Commercial Hub (Near Lat: 28.754, Lon: 77.163)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.0 - 18.0 Lakhs/mo,"Rs. 5,000 - 55,000",Managing Director / Workshop Head,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti AutoLuxe Portal: Ceramic coating & PPF video showcase, slot booking system, and high-ticket customer conversion funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
