Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1291,Takshila Institute JEE-NEET Medical Hub,Coaching Institutes & EdTech,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 21.0 - 24.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (679 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9834 766 494,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1292,AVJ Academy CA Foundation & Inter Hub,Coaching Institutes & EdTech,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 11.0 - 14.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.9 Stars (106 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9846 629 902,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1293,Simplified JEE & NEET Academy,Coaching Institutes & EdTech,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 16.0 - 19.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.7 Stars (586 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9844 125 511,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1294,Cambridge IELTS & Study Abroad Hub,Coaching Institutes & EdTech,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 25.0 - 28.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (549 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9885 130 224,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1295,British IELTS Coaching Academy,Coaching Institutes & EdTech,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 13.0 - 18.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (177 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9832 356 704,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1296,Crown Learning Hub IELTS & PTE,Coaching Institutes & EdTech,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 10.0 - 15.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.8 Stars (548 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9810 616 685,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1297,Next Step IELTS & OET Training Centre,Coaching Institutes & EdTech,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 17.0 - 21.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.8 Stars (153 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9815 748 610,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1298,Excellent Students' Academy (ESA),Coaching Institutes & EdTech,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 16.0 - 22.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (504 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9840 122 886,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1299,Garg Commerce Classes CA & Class 12,Coaching Institutes & EdTech,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 23.0 - 29.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.3 Stars (388 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9819 137 178,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1300,Vidyamandir Classes Rohini Affiliate,Coaching Institutes & EdTech,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 12.0 - 16.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (152 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9870 866 886,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1301,Pinnacle Institute SSC & Banking Prep,Coaching Institutes & EdTech,Sector 3 Rohini Market,Near Jaipur Golden Hospital,"Rohini, Delhi - 110085",Rs. 12.0 - 14.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (496 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9849 327 651,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1302,Concept Plus IIT-JEE & Foundation,Coaching Institutes & EdTech,Sector 5 CSC Market,Near Rajiv Gandhi Cancer Institute,"Rohini, Delhi - 110085",Rs. 13.0 - 15.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (74 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9869 843 581,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1303,Scholars Hub Mathematics & Science Academy,Coaching Institutes & EdTech,Sector 6 Commercial Complex,Near Ayodhya Chowk,"Rohini, Delhi - 110085",Rs. 10.0 - 16.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (268 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9869 964 878,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1304,Global Visa & IELTS Preparation Lounge,Coaching Institutes & EdTech,Sector 18 Commercial Hub,Badli Road / Samaypur link,"Rohini, Delhi - 110089",Rs. 21.0 - 25.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.7 Stars (511 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9855 641 103,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1305,Rankers Point JEE-NEET Academy,Coaching Institutes & EdTech,Sector 22 Market,Near Pocket 4 Market,"Rohini, Delhi - 110086",Rs. 10.0 - 14.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (322 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9874 164 566,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1306,Maheshwari Commerce Classes Rohini,Coaching Institutes & EdTech,Sector 25 Marble & Commercial Hub,Near Rithala Industrial Area,"Rohini, Delhi - 110085",Rs. 28.0 - 34.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (655 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9842 402 649,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1307,IMS Study Abroad & IELTS Rohini,Coaching Institutes & EdTech,Mangolpuri Marble Market Hub (Rohini Border),Main Outer Ring Road,"Rohini, Delhi - 110083",Rs. 27.0 - 31.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (535 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9848 597 690,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1308,Ignite Physics & Chemistry Academy,Coaching Institutes & EdTech,GT Karnal Road Banquet Belt,Alipur / Rohini Extn,"Rohini, Delhi - 110036",Rs. 14.0 - 16.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (576 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9848 247 218,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
