Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0004,Ayurvedic Mental Hospital,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.724, Lon: 77.150)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0014,MGS Hospital,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.674, Lon: 77.135)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0015,Maharaja Agrasen Hospital,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.674, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0022,Rediscover Ayurvedic Medical Clinic,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0028,A One Hospital,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.679, Lon: 77.098)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0032,Dental Child Clinic,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.679, Lon: 77.105)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0047,Dr. Lal Pathlabs,Dental & Healthcare Clinics,"Sector-18, Rohini",10089,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0051,INDIRA IVF,Dental & Healthcare Clinics,145 Rohini East,110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0052,Tamish,Dental & Healthcare Clinics,12 Sector 22,201301,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0060,Mittal Clinic & Eye Specialist,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.685, Lon: 77.130)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0066,Patanjali Store,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.685, Lon: 77.130)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0069,CRL diagnostics,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.672, Lon: 77.156)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0084,Savera Hospital,Dental & Healthcare Clinics,North West,110034,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0085,Dr. Akash Juneja (ENT),Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.688, Lon: 77.122)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0092,Health touch medicine,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.688, Lon: 77.122)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0096,Radha Krishna Medilink,Dental & Healthcare Clinics,"Rohini Commercial Hub (Near Lat: 28.692, Lon: 77.116)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 6.5 - 15.0 Lakhs/mo,"Rs. 2,000 - 35,000",Doctors / Medical Director,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti SmartClinic Engine: Direct WhatsApp appointment scheduling, patient review showcase, and automated Google Map SEO rank booster.",HOT (Zero Web Presence / High Revenue),Uncontacted
