Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,Phone_Contact,Operating_Hours,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-BRAND-001,B.S. Sports (BS Sports Rohini Sector 7 Hub),Sportswear & Custom Sports Equipment,"Custom Cricket Jerseys, Sublimation Printing & Sports Gear","Main Market, Sector 7, Rohini, Delhi - 110085 (Near Rohini West Metro)","Rohini Sector 7, Delhi",Rs. 12.0 - 35.0 Lakhs/mo,"Rs. 3,500 - 85,000 (Bulk Team Orders)",NO DIRECT E-COMMERCE / TEAM JERSEY CUSTOMIZER WEBSITE,Managing Director / Store Founder,+91 9811X XXXXX (Sector 7 Main Outlet),10:30 AM - 9:00 PM (Daily),"Pitch 'SahayShakti Custom Jersey & Sports 3D Kit Builder': Online 3D jersey visualizer (add player name/number/logo), team bulk order quote calculator, and automated WhatsApp tournament kit bookings.",HOT (Massive Footfall & Team Orders / No Online Configurator),Uncontacted
SST-BRAND-002,B.S. Sports (BS Sports Pitampura Branch),Sportswear & Custom Sports Equipment,"Sports Goods, Custom Team Uniforms & Fitness Gear","Near Fountain Chowk / Main Market, Pitampura, Delhi - 110034","Pitampura, Delhi",Rs. 15.0 - 40.0 Lakhs/mo,"Rs. 4,000 - 95,000 (School & Academy Kits)",NO DIGITAL CATALOGUE (Relies on Walk-in / Justdial),Branch Head / Managing Partner,+91 9873X XXXXX (Pitampura Outlet),10:00 AM - 9:00 PM (Mon-Sun),"Pitch 'SahayShakti SportsPro Suite': Digital sports catalog, institutional quote generator for schools/academies, and WhatsApp direct payment checkout.",HOT (High Institutional Volume / Zero Web Portal),Uncontacted
SST-BRAND-003,B.S. Sports (BS Sports Academy & Sports Hub Rohini Sector 3),Sportswear & Custom Sports Equipment,"Badminton Gear, Racket Restringing & Custom Apparel","Near Jaipur Golden Hospital, Sector 3, Rohini, Delhi - 110085","Rohini Sector 3, Delhi",Rs. 8.0 - 22.0 Lakhs/mo,"Rs. 2,000 - 45,000",NO OFFICIAL WEBSITE (Only Local Map Listing),Academy Director / Chief Coach,+91 9910X XXXXX (Sector 3 Outlet),6:00 AM - 9:00 PM,"Pitch 'SahayShakti Academy Booking Portal': Online court & coaching slot booking, sports gear shop, and student enrollment funnel.",HOT (High Sports Footfall),Uncontacted
SST-BRAND-004,KALKI Fashion Pitampura Flagship,"Branded Clothing, Custom Boutiques & Bridal Wear","Luxury Couture, Bridal Lehengas, Gowns & Indo-Western","Kapil Vihar, Main Road, Pitampura, Delhi - 110034","Pitampura Luxury Belt, Delhi",Rs. 45.0 Lakhs - 1.8 Crore/mo,"Rs. 35,000 - 3,50,000 (Luxury Bridal Outfits)",National Brand Site Exists (Needs Local VIP Pitampura In-Store Appointment Funnel),Store General Manager / Regional Retail Head,+91 9319X XXXXX (Pitampura Flagship),11:00 AM - 8:30 PM (Daily),Pitch 'SahayShakti VIP Bridal Stylist Concierge': Dedicated local landing page for Pitampura/Rohini brides with 1-click VIP private styling appointment booking and video fitting sessions.,High (Ultra-High Ticket Size / High Conversion Value),Uncontacted
SST-BRAND-005,Vikang The Sports Town,Sportswear & Custom Sports Equipment,"Cricket Bats, Professional Sports Gear & Custom Sportswear","Near DC Chowk, Sector 9 Commercial Centre, Rohini, Delhi - 110085","Rohini Sector 9, Delhi",Rs. 10.0 - 28.0 Lakhs/mo,"Rs. 2,500 - 50,000",NO E-COMMERCE WEBSITE (Justdial / Local Walk-in Only),Managing Owner,+91 9810X XXXXX (DC Chowk Outlet),10:30 AM - 9:00 PM,"Pitch 'SahayShakti SportsStore Digital Suite': Product catalog with live inventory showcase, bat knocking & customization booking, and WhatsApp order funnel.",HOT (Prime Rohini Location / No Website),Uncontacted
SST-BRAND-006,Zebon Sports Rohini,Sportswear & Custom Sports Equipment,"Fitness Wear, Custom Tracksuits & Athletic Gear","Sector 8 Commercial Complex, Rohini, Delhi - 110085","Rohini Sector 8, Delhi",Rs. 7.5 - 20.0 Lakhs/mo,"Rs. 1,800 - 35,000",NO WEBSITE FOUND,Proprietor,+91 9899X XXXXX,10:00 AM - 8:30 PM,Pitch 'SahayShakti ActiveWear Web Portal': Mobile catalog for gym/athletic apparel with direct UPI checkout and local delivery booking.,HOT (Zero Web Presence),Uncontacted
SST-BRAND-007,Delhi Digital Print & Madhukar Sports Custom Apparel,Sportswear & Custom Sports Equipment,"Custom Sublimation Jersey Printing, Marathon T-Shirts & Corporate Kits","Commercial Hub, Pitampura, Delhi - 110034","Pitampura, Delhi",Rs. 18.0 - 50.0 Lakhs/mo,"Rs. 15,000 - 2,50,000 (Bulk Corporate/Team Orders)",Basic Outdated Page (No Instant Quotation Calculator),Managing Director,+91 9811X XXXXX,9:30 AM - 8:00 PM,"Pitch 'SahayShakti Instant Print Quoter': Upload vector artwork, live price-per-piece calculator based on quantity (50, 100, 500 pcs), and automated WhatsApp invoice generator.",HOT (High B2B Revenue),Uncontacted
SST-BRAND-008,Komal Artz Custom Sportswear & Vinyl Printing,Sportswear & Custom Sports Equipment,"Screen Printing, Digital Jersey Names & Team Logo Heat Transfers","Pitampura Industrial/Commercial Complex, Delhi - 110034","Pitampura, Delhi",Rs. 12.0 - 32.0 Lakhs/mo,"Rs. 8,000 - 1,20,000",NO INTERACTIVE ORDERING SYSTEM,Creative Head / Managing Partner,+91 9871X XXXXX,10:00 AM - 8:00 PM,Pitch 'SahayShakti Custom Print Studio': Online artwork proofing tool and direct team bulk ordering portal.,HOT (High Demand Customization),Uncontacted
SST-BRAND-009,Flyten Fashion Brands (Custom Sports Jerseys),Sportswear & Custom Sports Equipment,"Sublimation Cricket Jerseys, Football Kits & Tracksuits Factory","North-West Delhi Industrial Belt / Rohini Link, Delhi",North-West Delhi,Rs. 20.0 - 55.0 Lakhs/mo,"Rs. 25,000 - 3,00,000",Basic Showcase (No Direct B2B Wholesale Portal),Founder / Plant Head,+91 9999X XXXXX,9:00 AM - 7:30 PM,"Pitch 'SahayShakti Factory B2B Hub': Digital wholesale catalog, fabric GSM selector, and automated distributor onboarding system.",HOT (High Production Volume),Uncontacted
SST-BRAND-010,Inaya Couture (Pitampura Luxury Bridal Studio),"Branded Clothing, Custom Boutiques & Bridal Wear","Handcrafted Bridal Lehengas, Reception Gowns & Custom Trousseau","Kapil Vihar / Rani Bagh Link Road, Pitampura, Delhi - 110034","Pitampura, Delhi",Rs. 20.0 - 50.0 Lakhs/mo,"Rs. 45,000 - 2,80,000",NO E-COMMERCE / LOOKBOOK WEBSITE (Only Instagram Page),Principal Designer & Founder,+91 9810X XXXXX,11:00 AM - 8:00 PM (Tue-Sun),"Pitch 'SahayShakti Haute Couture Suite': Video lookbook by collection, bride measurement submission portal, and direct advance token payment gateway.",HOT (High-Ticket Designer Bridal Studio),Uncontacted
SST-BRAND-011,Odhni Sarees & Bridal Lehengas (Pitampura Flagship),"Branded Clothing, Custom Boutiques & Bridal Wear","Designer Bridal Sarees, Heavily Embroidered Lehengas & Festive Wear","Nishant Kunj, Main Road, Pitampura, Delhi - 110034","Pitampura Commercial Hub, Delhi",Rs. 40.0 Lakhs - 1.2 Crore/mo,"Rs. 15,000 - 2,20,000",Brand site lacks personalized local appointment scheduling for Rohini/Pitampura VIP clients,Store General Manager,+91 9811X XXXXX,10:30 AM - 8:30 PM,Pitch 'SahayShakti VIP Bridal Experience Engine': Fast mobile booking app for in-store bridal trials and live video shopping for NRI clients.,High (Huge Volume & Brand Recall),Uncontacted
SST-BRAND-012,Bombay Selections Pitampura,"Branded Clothing, Custom Boutiques & Bridal Wear","Ethnic Wear, Bridal Lehengas & Readymade Designer Suits","Kapil Vihar, Main Ring Road, Pitampura, Delhi - 110034","Pitampura, Delhi",Rs. 30.0 - 85.0 Lakhs/mo,"Rs. 12,000 - 1,80,000",Outdated Local Presence (Loses digital inquiries to modern D2C labels),Managing Director,+91 9810X XXXXX,10:30 AM - 9:00 PM,Pitch 'SahayShakti Ethnic Retail Engine': Digital catalog with direct WhatsApp order placing and seasonal festive campaign landing pages.,HOT (Prime Location / High Turnover),Uncontacted
