Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-COUTURE-001,Inaya Couture Designer Bridal Studio,"Branded Clothing, Custom Boutiques & Bridal Wear",High-End Bridal Lehengas & Gowns,"Pitampura Main Road / Kapil Vihar, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 15.0 - 40.0 Lakhs/mo,"Rs. 35,000 - 2,50,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-002,Studio Samridhi Sarees & Couture,"Branded Clothing, Custom Boutiques & Bridal Wear",Designer Bridal Sarees & Indo-Western,"Kapil Vihar, Pitampura, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 12.0 - 35.0 Lakhs/mo,"Rs. 20,000 - 1,50,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-003,Rakhi and Tarak Designer Studio,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Wedding Ensembles & Sherwanis,"Pitampura Commercial Complex, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 16.0 - 45.0 Lakhs/mo,"Rs. 30,000 - 2,00,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-004,New Kumars The Designer Studio,"Branded Clothing, Custom Boutiques & Bridal Wear","Ethnic Wear, Lehengas & Kurti Sets","Near Rani Bagh / Pitampura Road, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 14.0 - 38.0 Lakhs/mo,"Rs. 15,000 - 1,20,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-005,Vastrachowk Custom Ethnic Hub,"Branded Clothing, Custom Boutiques & Bridal Wear",Customized Lehengas & Festive Outfits,"Rani Bagh Main Market, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 10.0 - 28.0 Lakhs/mo,"Rs. 12,000 - 95,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-006,Apnaa Darzi Custom Tailoring & Boutique,"Branded Clothing, Custom Boutiques & Bridal Wear",Doorstep Custom Tailoring & Designer Cuts,"Rani Bagh Market, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 8.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-007,Raja Ram & Sons Bridal & Ethnic Hub,"Branded Clothing, Custom Boutiques & Bridal Wear",Vibrant Occasion Lehengas & Sarees,"Rani Bagh Main Market, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 18.0 - 50.0 Lakhs/mo,"Rs. 25,000 - 1,80,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-008,Femina Designer Studio & Tailors,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Stitching & Designer Blouses,"Rohit Kunj / Rani Bagh, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 7.5 - 20.0 Lakhs/mo,"Rs. 5,000 - 40,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-009,Chhabra 555 Rani Bagh Exclusive,"Branded Clothing, Custom Boutiques & Bridal Wear",Bridal Lehengas & Silk Sarees,"Rani Bagh Market, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 20.0 - 55.0 Lakhs/mo,"Rs. 20,000 - 2,00,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-010,Bombay Selections Pitampura,"Branded Clothing, Custom Boutiques & Bridal Wear",Luxury Bridal Wear & Suits,"Kapil Vihar, Pitampura, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 25.0 - 70.0 Lakhs/mo,"Rs. 18,000 - 2,20,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
