Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1456,The Detailing Gang Ceramic Coating & PPF,Automotive Detailing & Luxury Customs,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 13.0 - 19.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.4 Stars (437 Reviews),No Website (Only Justdial & Google Map listing),Founders / Studio Heads,+91 9869 597 805,Competitors with Google Ads and slick dark-mode websites capture the premium Audi/BMW/Mercedes owners in Rohini.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1457,Auto Shine Luxury Car Spa & Detailing,Automotive Detailing & Luxury Customs,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 7.0 - 11.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.8 Stars (586 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9840 878 332,Relies on temporary Instagram stories without a persistent Google indexed warranty & certification portal.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1458,Rohini Customs Car Audio & Modifiers,Automotive Detailing & Luxury Customs,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 12.0 - 16.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.7 Stars (666 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Founders / Studio Heads,+91 9860 651 194,Competitors with Google Ads and slick dark-mode websites capture the premium Audi/BMW/Mercedes owners in Rohini.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1459,Torque Auto Craft Ceramic & Paint Protection,Automotive Detailing & Luxury Customs,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 13.0 - 16.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.6 Stars (400 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Founders / Studio Heads,+91 9831 593 128,Lacks online slot booking for weekend car detailing and customized package pricing calculators.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1460,Speed Car Spa & Steam Wash Hub,Automotive Detailing & Luxury Customs,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 6.0 - 10.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.8 Stars (339 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9828 446 728,Car enthusiasts and luxury vehicle owners cannot view high-definition PPF/Ceramic coating video case studies.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1461,Elite Car Detailing & Teflon Coating,Automotive Detailing & Luxury Customs,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 11.0 - 16.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.8 Stars (239 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9864 968 945,Competitors with Google Ads and slick dark-mode websites capture the premium Audi/BMW/Mercedes owners in Rohini.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1462,Motorheads Studio PPF & Custom Wraps,Automotive Detailing & Luxury Customs,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 10.0 - 13.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.3 Stars (224 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9827 392 619,Lacks online slot booking for weekend car detailing and customized package pricing calculators.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1463,Shree Ganesh Auto Accessories & Audio,Automotive Detailing & Luxury Customs,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 15.0 - 18.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.7 Stars (157 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9819 491 854,Lacks online slot booking for weekend car detailing and customized package pricing calculators.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1464,Precision Car Detailing & Dry Clean Lounge,Automotive Detailing & Luxury Customs,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 16.0 - 21.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.7 Stars (423 Reviews),No Website (Only IndiaMART / Sulekha listing),Founders / Studio Heads,+91 9894 263 638,Relies on temporary Instagram stories without a persistent Google indexed warranty & certification portal.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1465,The Car Lounge Paint Protection Film Studio,Automotive Detailing & Luxury Customs,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 7.0 - 11.0 Lakhs/mo,"Rs. 8,000 - Rs. 75,000",4.3 Stars (535 Reviews),No Website (Only Justdial & Google Map listing),Founders / Studio Heads,+91 9868 260 754,Car enthusiasts and luxury vehicle owners cannot view high-definition PPF/Ceramic coating video case studies.,"Pitch 'SahayShakti AutoLuxe Dark-Mode Portal': Glossy ceramic/PPF package visualizer, before/after slider showcase, and instant weekend slot booking.",High Priority,Uncontacted / Ready for Pitch
