Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0001,IBP Limited,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.756, Lon: 77.148)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0005,DT City Center,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.703, Lon: 77.158)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0007,Big Bazaar,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.696, Lon: 77.153)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0008,Durga palace,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.692, Lon: 77.178)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0010,Electronic Gallery,"Real Estate, Legal & Professional Corporate","241 G-7 Sector-16, Rohini,Delhi",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0011,Water Pump,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.704, Lon: 77.180)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0016,HSBC,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.671, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0018,Punjabi Bagh Central Market,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.671, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0019,HDFC Bank,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.133)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.hdfcbank.com,Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0023,State Bank of India,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.134)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0025,Indian Overseas Bank,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.670, Lon: 77.129)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.iob.in,Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0026,ICICI Bank,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.679, Lon: 77.097)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,https://www.icicibank.com,Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0027,Trance Lounge,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.679, Lon: 77.100)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0029,Paschim Vihar Market,"Real Estate, Legal & Professional Corporate","Rohini Commercial Hub (Near Lat: 28.679, Lon: 77.100)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 8.0 - 30.0 Lakhs/mo,"Rs. 25,000 - 2,50,000",Senior Partner / Managing Consultant,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti Corporate Suite: High-trust portfolio, floor-plan downloads, and direct investor inquiry funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
