Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-MFG-001,Supreme Polymers & Plastic Moulding Works,Industrial Manufacturing & Packaging Factories,Plastic Injection Moulding & Containers,"Mangolpuri Industrial Area Phase 1, Delhi - 110034",Mangolpuri / Badli Industrial Areas,Rs. 25.0 - 75.0 Lakhs/mo,"Rs. 50,000 - 6,00,000 (Bulk)",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-002,Badli Corrugated Box & Packaging Factory,Industrial Manufacturing & Packaging Factories,Heavy Duty Corrugated Shipping Boxes,"Badli Industrial Area Phase 2, Delhi - 110042",Mangolpuri / Badli Industrial Areas,Rs. 20.0 - 60.0 Lakhs/mo,"Rs. 35,000 - 4,50,000 (B2B)",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-003,Rohini Precision Engineering & CNC Works,Industrial Manufacturing & Packaging Factories,"CNC Machine Parts, Lathe & Die Making","Mangolpuri Phase 2, Delhi - 110034",Mangolpuri / Badli Industrial Areas,Rs. 18.0 - 52.0 Lakhs/mo,"Rs. 40,000 - 3,80,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-004,Mahalaxmi Printing & Offset Packaging,Industrial Manufacturing & Packaging Factories,"Product Boxes, Mono Cartons & Foil Print","Wazirpur / Badli Link, Delhi - 110042",Mangolpuri / Badli Industrial Areas,Rs. 22.0 - 68.0 Lakhs/mo,"Rs. 30,000 - 5,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-005,Apex Rubber & Gasket Manufacturing,Industrial Manufacturing & Packaging Factories,Industrial Rubber O-rings & Seals,"Badli Industrial Area Phase 1, Delhi - 110042",Mangolpuri / Badli Industrial Areas,Rs. 15.0 - 42.0 Lakhs/mo,"Rs. 25,000 - 3,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-006,Garg Hardware & Stainless Steel Fabrication,Industrial Manufacturing & Packaging Factories,"SS Railings, Kitchen Hardware & Pipes","Mangolpuri Industrial Area Phase 1, Delhi - 110034",Mangolpuri / Badli Industrial Areas,Rs. 28.0 - 80.0 Lakhs/mo,"Rs. 60,000 - 7,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-007,Shree Balaji Corrugation & Lamination,Industrial Manufacturing & Packaging Factories,Printed Cartons & E-commerce Packaging,"Mangolpuri Phase 2, Delhi - 110034",Mangolpuri / Badli Industrial Areas,Rs. 19.0 - 55.0 Lakhs/mo,"Rs. 35,000 - 4,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-008,Vardhman Wire Netting & Perforated Sheets,Industrial Manufacturing & Packaging Factories,"Industrial Wire Mesh, SS Sheets & Screens","Badli Industrial Area, Delhi - 110042",Mangolpuri / Badli Industrial Areas,Rs. 17.0 - 48.0 Lakhs/mo,"Rs. 30,000 - 3,50,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-009,Delhi Label & Barcode Tag Manufacturers,Industrial Manufacturing & Packaging Factories,"Garment Tags, Woven Labels & Stickers","Mangolpuri Phase 1, Delhi - 110034",Mangolpuri / Badli Industrial Areas,Rs. 14.0 - 38.0 Lakhs/mo,"Rs. 15,000 - 2,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
SST-MFG-010,National Metal Works & Stamping Plant,Industrial Manufacturing & Packaging Factories,Sheet Metal Components & Press Parts,"Wazirpur Industrial Area (North-West Link), Delhi",Mangolpuri / Badli Industrial Areas,Rs. 30.0 - 90.0 Lakhs/mo,"Rs. 75,000 - 8,00,000",NO INDUSTRIAL CAPABILITY & SPECIFICATION WEBSITE,Plant Head / Managing Director,"Pitch 'SahayShakti Industrial Engine': Technical machinery specifications, machinery plant video tour, client portfolio, and automated B2B bulk inquiry RFQ engine.",HOT (High Revenue B2B Plant),Uncontacted
