Lead_ID,Business_Name,Category,Address_Locality,Pincode,City,Phone_Contact,Website_Status,Est_Monthly_Revenue,Avg_Ticket_Size,Decision_Maker,Operating_Hours,SahayShakti_Pitch_Strategy,Lead_Priority,Outreach_Status
SST-REAL-ROH-0112,Furniture market,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.700, Lon: 77.093)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0128,Garg Traders,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.739, Lon: 77.121)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0138,Darshi Traders,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.739, Lon: 77.121)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0181,Good Food Kitchen,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.682, Lon: 77.059)",110085,"Rohini, Delhi",9716620910,https://www.facebook.com/goodfoodkitchen.in,Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",Warm (Needs Modern Revamp),Uncontacted
SST-REAL-ROH-0492,RN Hardware,"Interior Design, Modular Kitchens & Furnishings",554  Jahangirpuri,110033,"Rohini, Delhi",+91-95821-81521,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0537,Ganesh Building Material Supplier,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.731, Lon: 77.161)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0601,Seth furniture gallery,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.723, Lon: 77.167)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0629,Raseela Paints,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.724, Lon: 77.168)",110085,"Rohini, Delhi",+91 99530 70616;+91-93122-55557,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0637,Dilkash Furniture,"Interior Design, Modular Kitchens & Furnishings",C-1/B Gali #27 Mahendra Park,110033,"Rohini, Delhi",+91-87008-91171;+91-7701-992613;+91-8800-213224,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
SST-REAL-ROH-0687,Gaurav Sanitary and Hardware Store,"Interior Design, Modular Kitchens & Furnishings","Rohini Commercial Hub (Near Lat: 28.715, Lon: 77.177)",110085,"Rohini, Delhi",In-Person Walk-in / Listed in Local Market,NO OFFICIAL WEBSITE (High Vulnerability),Rs. 12.0 - 45.0 Lakhs/mo,"Rs. 1,50,000 - 10,00,000",Managing Partner / Principal Designer,10:00 AM - 9:00 PM (Regular Business Hours),"SahayShakti 3D Portfolio Portal: High-speed project visualizer, kitchen cost estimator, and exclusive organic Google lead funnel.",HOT (Zero Web Presence / High Revenue),Uncontacted
